Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
02-01-2004,WIPRO,EQ,1760.9,1761,1778.8,1752,1773,1762.3,1765.45,367851,6.49423E+13,,92722,0.2521
05-01-2004,WIPRO,EQ,1762.3,1775.3,1791.3,1732.15,1742,1740.75,1755,520442,9.13377E+13,,131701,0.2531
06-01-2004,WIPRO,EQ,1740.75,1777,1809,1651,1680,1692.5,1764.86,1010424,1.78326E+14,,239214,0.2367
07-01-2004,WIPRO,EQ,1692.5,1710,1720,1665.6,1690,1695.55,1695.85,650629,1.10337E+14,,92122,0.1416
08-01-2004,WIPRO,EQ,1695.55,1748.2,1749.8,1690,1735.15,1735.75,1729.54,616086,1.06555E+14,,154217,0.2503
09-01-2004,WIPRO,EQ,1735.75,1780,1870,1726,1760,1756.65,1784.1,1081512,1.92952E+14,,239794,0.2217
12-01-2004,WIPRO,EQ,1756.65,1760,1760,1717,1726.7,1737.15,1734.91,341601,5.92647E+13,,44502,0.1303
13-01-2004,WIPRO,EQ,1737.15,1701.2,1760,1701.2,1747.8,1748.3,1745.5,340590,5.945E+13,,61455,0.1804
14-01-2004,WIPRO,EQ,1748.3,1755.6,1787,1750,1763,1759.4,1766.65,322458,5.6967E+13,,77416,0.2401
15-01-2004,WIPRO,EQ,1759.4,1775,1780,1689,1695.7,1704.2,1739.83,323004,5.61971E+13,,41280,0.1278
16-01-2004,WIPRO,EQ,1704.2,1693,1723.4,1656.6,1720,1699.5,1687.2,485493,8.19122E+13,,74198,0.1528
19-01-2004,WIPRO,EQ,1699.5,1718,1748.95,1695,1748,1734.65,1719.69,487653,8.38612E+13,,115958,0.2378
20-01-2004,WIPRO,EQ,1734.65,1767,1767,1691,1697.7,1717.85,1736.82,527869,9.16811E+13,,118699,0.2249
21-01-2004,WIPRO,EQ,1717.85,1750,1760,1620,1637,1656.9,1712.55,933807,1.59919E+14,,205767,0.2204
22-01-2004,WIPRO,EQ,1656.9,1664,1754.7,1614.1,1640,1639,1701.38,1068191,1.81739E+14,,180214,0.1687
23-01-2004,WIPRO,EQ,1639,1660,1730,1645.55,1727,1719.95,1687.02,623017,1.05104E+14,,150048,0.2408
27-01-2004,WIPRO,EQ,1719.95,1750,1750,1678.2,1738.9,1731.15,1718.98,634917,1.09141E+14,,137492,0.2166
28-01-2004,WIPRO,EQ,1731.15,1719,1732,1621.1,1665.15,1648.1,1684.34,599277,1.00939E+14,,81524,0.136
29-01-2004,WIPRO,EQ,1648.1,1685,1685,1540.15,1576,1573.8,1597.84,1077001,1.72088E+14,,245950,0.2284
30-01-2004,WIPRO,EQ,1573.8,1595,1605,1548,1553,1558.8,1576.35,563340,8.88021E+13,,99860,0.1773
03-02-2004,WIPRO,EQ,1558.8,1525.2,1590,1515,1526,1525.45,1543.2,605322,9.34134E+13,,165361,0.2732
04-02-2004,WIPRO,EQ,1525.45,1526.2,1554,1475,1522,1517.2,1513.51,721020,1.09127E+14,,151474,0.2101
05-02-2004,WIPRO,EQ,1517.2,1520.05,1548,1480,1502.1,1499,1510.46,699982,1.05729E+14,,99316,0.1419
06-02-2004,WIPRO,EQ,1499,1506,1562,1501.5,1552,1555.7,1537.67,667597,1.02655E+14,,109386,0.1639
09-02-2004,WIPRO,EQ,1555.7,1569,1649,1560.25,1632,1625.35,1594.87,428763,6.8382E+13,,125289,0.2922
10-02-2004,WIPRO,EQ,1625.35,1605.2,1639.7,1583.4,1600.15,1598.05,1603.2,497264,7.97216E+13,,115283,0.2318
11-02-2004,WIPRO,EQ,1598.05,1590,1620,1590,1611,1608.9,1608.73,332406,5.3475E+13,,76412,0.2299
